English,Infinitive,Present Participle Type,Present Participle,Past Participle Type,Past Participle,Regular Type,Present Yo,Present Tú,Present Él,Present Nosotros,Present Ellos,Preterite Type,Preterite Yo,Preterite Tú,Preterite Él,Preterite Nosotros,Preterite Ellos,Imperfect Type,Imperfect Yo,Imperfect Tú,Imperfect Él,Imperfect Nosotros,Imperfect Ellos,Conditional Type,Conditional Yo,Conditional Tú,Conditional Él,Conditional Nosotros,Conditional Ellos,Simple Future Type,Simple Future Yo,Simple Future Tú,Simple Future Él,Simple Future Nosotros,Simple Future Ellos,Present Subjunctive Type,Present Subjunctive Yo,Present Subjunctive Tú,Present Subjunctive Él,Present Subjunctive Nosotros,Present Subjunctive Ellos,Imperfect Subjunctive Type,Imperfect Subjunctive Yo,Imperfect Subjunctive Tú,Imperfect Subjunctive Él,Imperfect Subjunctive Nosotros,Imperfect Subjunctive Ellos
To bring,Traer,Irregular,Trayendo,Irregular,Traído,Irregular,Traigo,Traes,Trae,Traemos,Traen,Irregular,Traje,Trajiste,Trajo,Trajimos,Trajeron,Regular,Traía,Traías,Traía,Traíamos,Traían,Regular,Traería,Traerías,Traería,Traeríamos,Traerían,Regular,Traeré,Traerás,Traerá,Traeremos,Traerán,Irregular,Traiga,Traigas,Traiga,Traigamos,Traigan,Irregular,Trajera,Trajeras,Trajera,Trajéramos,Trajeran
To buy,Comprar,Regular,Comprando,Regular,Comprado,Regular,Compro,Compras,Compra,Compramos,Compran,Regular,Compré,Compraste,Compró,Compramos,Compraron,Regular,Compraba,Comprabas,Compraba,Comprábamos,Compraban,Regular,Compraría,Comprarías,Compraría,Compraríamos,Comprarían,Regular,Compraré,Comprarás,Comprará,Compraremos,Comprarán,Regular,Compre,Compres,Compre,Compremos,Compren,Regular,Comprara,Compraras,Comprara,Compráramos,Compraran
To call,Llamar,Regular,Llamando,Regular,Llamado,Regular,Llamo,Llamas,Llama,Llamamos,Llaman,Regular,Llamé,Llamaste,Llamó,Llamamos,Llamaron,Regular,Llamaba,Llamabas,Llamaba,Llamábamos,Llamaban,Regular,Llamaría,Llamarías,Llamaría,Llamaríamos,Llamarían,Regular,Llamaré,Llamarás,Llamará,Llamaremos,Llamarán,Regular,Llame,Llames,Llame,Llamemos,Llamen,Regular,Llamara,Llamaras,Llamara,Llamáramos,Llamaran
To clean,Limpiar,Regular,Limpiando,Regular,Limpiado,Regular,Limpio,Limpias,Limpia,Limpiamos,Limpian,Regular,Limpié,Limpiaste,Limpió,Limpiamos,Limpiaron,Regular,Limpiaba,Limpiabas,Limpiaba,Limpiábamos,Limpiaban,Regular,Limpiaría,Limpiarías,Limpiaría,Limpiaríamos,Limpiarían,Regular,Limpiaré,Limpiarás,Limpiará,Limpiaremos,Limpiarán,Regular,Limpie,Limpies,Limpie,Limpiemos,Limpien,Regular,Limpiara,Limpiaras,Limpiara,Limpiáramos,Limpiaran
To come,Venir,Stem Changing,Viniendo,Regular,Venido,"Irregular, Stem Changing",Vengo,Vienes,Viene,Venimos,Vienen,Irregular,Vine,Viniste,Vino,Vinimos,Vinieron,Regular,Venía,Venías,Venía,Veníamos,Venían,Irregular,Vendría,Vendrías,Vendría,Vendríamos,Vendrían,Irregular,Vendré,Vendrás,Vendrá,Vendremos,Vendrán,Irregular,Venga,Vengas,Venga,Vengamos,Vengan,Irregular,Viniera,Vinieras,Viniera,Viniéramos,Vinieran
To dance,Bailar,Regular,Bailando,Regular,Bailado,Regular,Bailo,Bailas,Baila,Bailamos,Bailan,Regular,Bailé,Bailaste,Bailó,Bailamos,Bailaron,Regular,Bailaba,Bailabas,Bailaba,Bailábamos,Bailaban,Regular,Bailaría,Bailarías,Bailaría,Bailaríamos,Bailarían,Regular,Bailaré,Bailarás,Bailará,Bailaremos,Bailarán,Regular,Baile,Bailes,Baile,Bailemos,Bailen,Regular,Bailara,Bailaras,Bailara,Bailáramos,Bailaran
To die,Morir,Stem Changing,Muriendo,Irregular,Muerto,Stem Changing,Muero,Mueres,Muere,Morimos,Mueren,Stem Changing,Morí,Moriste,Murió,Morimos,Murieron,Regular,Moría,Morías,Moría,Moríamos,Morían,Regular,Moriría,Morirías,Moriría,Moriríamos,Morirían,Regular,Moriré,Morirás,Morirá,Moriremos,Morirán,Stem Changing,Muera,Mueras,Muera,Muramos,Mueran,Stem Changing,Muriera,Murieras,Muriera,Muriéramos,Murieran
"To do, To make",Hacer,Regular,Haciendo,Irregular,Hecho,Irregular,Hago,Haces,Hace,Hacemos,Hacen,Irregular,Hice,Hiciste,Hizo,Hicimos,Hicieron,Regular,Hacía,Hacías,Hacía,Hacíamos,Hacían,Irregular,Haría,Harías,Haría,Haríamos,Harían,Irregular,Haré,Harás,Hará,Haremos,Harán,Irregular,Haga,Hagas,Haga,Hagamos,Hagan,Irregular,Hiciera,Hicieras,Hiciera,Hiciéramos,Hicieran
To draw,Dibujar,Regular,Dibujando,Regular,Dibujado,Regular,Dibujo,Dibujas,Dibuja,Dibujamos,Dibujan,Regular,Dibujé,Dibujaste,Dibujó,Dibujamos,Dibujaron,Regular,Dibujaba,Dibujabas,Dibujaba,Dibujábamos,Dibujaban,Regular,Dibujaría,Dibujarías,Dibujaría,Dibujaríamos,Dibujarían,Regular,Dibujaré,Dibujarás,Dibujará,Dibujaremos,Dibujarán,Regular,Dibuje,Dibujes,Dibuje,Dibujemos,Dibujen,Regular,Dibujara,Dibujaras,Dibujara,Dibujáramos,Dibujaran
To drink,Beber,Regular,Bebiendo,Regular,Bebido,Regular,Bebo,Bebes,Bebe,Bebemos,Beben,Regular,Bebí,Bebiste,Bebió,Bebimos,Bebieron,Regular,Bebía,Bebías,Bebía,Bebíamos,Bebían,Regular,Bebería,Beberías,Bebería,Beberíamos,Beberían,Regular,Beberé,Beberás,Beberá,Beberemos,Beberán,Regular,Beba,Bebas,Beba,Bebamos,Beban,Regular,Bebiera,Bebieras,Bebiera,Bebiéramos,Bebieran
To eat,Comer,Regular,Comiendo,Regular,Comido,Regular,Como,Comes,Come,Comemos,Comen,Regular,Comí,Comiste,Comió,Comimos,Comieron,Regular,Comía,Comías,Comía,Comíamos,Comían,Regular,Comería,Comerías,Comería,Comeríamos,Comerían,Regular,Comeré,Comerás,Comerá,Comeremos,Comerán,Regular,Coma,Comas,Coma,Comamos,Coman,Regular,Comiera,Comieras,Comiera,Comiéramos,Comieran
To eat breakfast,Desayunar,Regular,Desayunando,Regular,Desayunado,Regular,Desayuno,Desayunas,Desayuna,Desayunamos,Desayunan,Regular,Desayuné,Desayunaste,Desayunó,Desayunamos,Desayunaron,Regular,Desayunaba,Desayunabas,Desayunaba,Desayunábamos,Desayunaban,Regular,Desayunaría,Desayunarías,Desayunaría,Desayunaríamos,Desayunarían,Regular,Desayunaré,Desayunarás,Desayunará,Desayunaremos,Desayunarán,Regular,Desayune,Desayunes,Desayune,Desayunemos,Desayunen,Regular,Desayunara,Desayunaras,Desayunara,Desayunáramos,Desayunaran
To eat dinner,Cenar,Regular,Cenando,Regular,Cenado,Regular,Ceno,Cenas,Cena,Cenamos,Cenan,Regular,Cené,Cenaste,Cenó,Cenamos,Cenaron,Regular,Cenaba,Cenabas,Cenaba,Cenábamos,Cenaban,Regular,Cenaría,Cenarías,Cenaría,Cenaríamos,Cenarían,Regular,Cenaré,Cenarás,Cenará,Cenaremos,Cenarán,Regular,Cene,Cenes,Cene,Cenemos,Cenen,Regular,Cenara,Cenaras,Cenara,Cenáramos,Cenaran
To eat lunch,Almorzar,Regular,Almorzando,Regular,Almorzado,Stem Changing,Almuerzo,Almuerzas,Almuerza,Almorzamos,Almuerzan,Orthographic,Almorcé,Almorzaste,Almorzó,Almorzamos,Almorzaron,Regular,Almorzaba,Almorzabas,Almorzaba,Almorzábamos,Almorzaban,Regular,Almorzaría,Almorzarías,Almorzaría,Almorzaríamos,Almorzarían,Regular,Almorzaré,Almorzarás,Almorzará,Almorzaremos,Almorzarán,"Stem Changing, Orthographic",Almuerce,Almuerces,Almuerce,Almorcemos,Almuercen,Regular,Almorzara,Almorzaras,Almorzara,Almorzáramos,Almorzaran
To enjoy oneself,Divertirse,Stem Changing,Divirtiendo,Regular,Divertido,"Reflexive, Stem Changing",Me divierto,Te diviertes,Se divierte,Nos divertimos,Se divierten,"Reflexive, Stem Changing",Me divertí,Te divertiste,Se divirtió,Nos divertimos,Se divirtieron,"Reflexive, Regular",Me divertía,Te divertías,Se divertía,Nos divertíamos,Se divertían,"Reflexive, Regular",Me divertiría,Te divertirías,Se divertiría,Nos divertiríamos,Se divertirían,"Reflexive, Regular",Me divertiré,Te divertirás,Se divertirá,Nos divertiremos,Se divertirán,"Reflexive, Stem Changing",Me divierta,Te diviertas,Se divierta,Nos divirtamos,Se diviertan,"Reflexive, Stem Changing",Me divirtiera,Te divirtieras,Se divirtiera,Nos divirtiéramos,Se divirtieran
To feel,Sentirse,Stem Changing,Sintiendo,Regular,Sentido,"Reflexive, Stem Changing",Me siento,Te sientes,Se siente,Nos sentimos,Se sienten,"Reflexive, Stem Changing",Me sentí,Te sentiste,Se sintió,Nos sentimos,Se sintieron,"Reflexive, Regular",Me sentía,Te sentías,Se sentía,Nos sentíamos,Se sentían,"Reflexive, Regular",Me sentiría,Te sentirías,Se sentiría,Nos sentiríamos,Se sentirían,"Reflexive, Regular",Me sentiré,Te sentirás,Se sentirá,Nos sentiremos,Se sentirán,"Reflexive, Stem Changing",Me sienta,Te sientas,Se sienta,Nos sintamos,Se sientan,"Reflexive, Stem Changing",Me sintiera,Te sintieras,Se sintiera,Nos sintiéramos,Se sintieran
"To find, To meet",Encontrar,Regular,Encontrando,Regular,Encontrado,Stem Changing,Encuentro,Encuentras,Encuentra,Encontramos,Encuentran,Regular,Encontré,Encontraste,Encontró,Encontramos,Encontraron,Regular,Encontraba,Encontrabas,Encontraba,Encontrábamos,Encontraban,Regular,Encontraría,Encontrarías,Encontraría,Encontraríamos,Encontrarían,Regular,Encontraré,Encontrarás,Encontrará,Encontraremos,Encontrarán,Stem Changing,Encuentre,Encuentres,Encuentre,Encontremos,Encuentren,Regular,Encontrara,Encontraras,Encontrara,Encontráramos,Encontraran
To get up,Levantarse,Regular,Levantando,Regular,Levantado,"Reflexive, Regular",Me levanto,Te levantas,Se levanta,Nos levantamos,Se levantan,"Reflexive, Regular",Me levanté,Te levantaste,Se levantó,Nos levantamos,Se levantaron,"Reflexive, Regular",Me levantaba,Te levantabas,Se levantaba,Nos levantábamos,Se levantaban,"Reflexive, Regular",Me levantaría,Te levantarías,Se levantaría,Nos levantaríamos,Se levantarían,"Reflexive, Regular",Me levantaré,Te levantarás,Se levantará,Nos levantaremos,Se levantarán,"Reflexive, Regular",Me levante,Te levantes,Se levante,Nos levantemos,Se levanten,"Reflexive, Regular",Me levantara,Te levantaras,Se levantara,Nos levantáramos,Se levantaran
To give,Dar,Regular,Dando,Regular,Dado,Irregular,Doy,Das,Da,Damos,Dan,Irregular,Di,Diste,Dio,Dimos,Dieron,Regular,Daba,Dabas,Daba,Dábamos,Daban,Regular,Daría,Darías,Daría,Daríamos,Darían,Regular,Daré,Darás,Dará,Daremos,Darán,Irregular,Dé,Des,Dé,Demos,Den,Irregular,Diera,Dieras,Diera,Diéramos,Dieran
To go,Ir,Irregular,Yendo,Regular,Ido,Irregular,Voy,Vas,Va,Vamos,Van,Irregular,Fui,Fuiste,Fue,Fuimos,Fueron,Irregular,Iba,Ibas,Iba,Íbamos,Iban,Regular,Iría,Irías,Iría,Iríamos,Irían,Regular,Iré,Irás,Irá,Iremos,Irán,Irregular,Vaya,Vayas,Vaya,Vayamos,Vayan,Irregular,Fuera,Fueras,Fuera,Fuéramos,Fueran
To go to bed,Acostarse,Regular,Acostando,Regular,Acostado,"Reflexive, Stem Changing",Me acuesto,Te acuestas,Se acuesta,Nos acostamos,Se acuestan,"Reflexive, Regular",Me acosté,Te acostaste,Se acostó,Nos acostamos,Se acostaron,"Reflexive, Regular",Me acostaba,Te acostabas,Se acostaba,Nos acostábamos,Se acostaban,"Reflexive, Regular",Me acostaría,Te acostarías,Se acostaría,Nos acostaríamos,Se acostarían,"Reflexive, Regular",Me acostaré,Te acostarás,Se acostará,Nos acostaremos,Se acostarán,"Reflexive, Stem Changing",Me acueste,Te acuestes,Se acueste,Nos acostemos,Se acuesten,"Reflexive, Regular",Me acostara,Te acostaras,Se acostara,Nos acostáramos,Se acostaran
"To happen, To spend time",Pasar,Regular,Pasando,Regular,Pasado,Regular,Paso,Pasas,Pasa,Pasamos,Pasan,Regular,Pasé,Pasaste,Pasó,Pasamos,Pasaron,Regular,Pasaba,Pasabas,Pasaba,Pasábamos,Pasaban,Regular,Pasaría,Pasarías,Pasaría,Pasaríamos,Pasarían,Regular,Pasaré,Pasarás,Pasará,Pasaremos,Pasarán,Regular,Pase,Pases,Pase,Pasemos,Pasen,Regular,Pasara,Pasaras,Pasara,Pasáramos,Pasaran
To have,Tener,Regular,Teniendo,Regular,Tenido,"Irregular, Stem Changing",Tengo,Tienes,Tiene,Tenemos,Tienen,Irregular,Tuve,Tuviste,Tuvo,Tuvimos,Tuvieron,Regular,Tenía,Tenías,Tenía,Teníamos,Tenían,Irregular,Tendría,Tendrías,Tendría,Tendríamos,Tendrían,Irregular,Tendré,Tendrás,Tendrá,Tendremos,Tendrán,Irregular,Tenga,Tengas,Tenga,Tengamos,Tengan,Irregular,Tuviera,Tuvieras,Tuviera,Tuviéramos,Tuvieran
To know,Saber,Regular,Sabiendo,Regular,Sabido,Irregular,Sé,Sabes,Sabe,Sabemos,Saben,Irregular,Supe,Supiste,Supo,Supimos,Supieron,Regular,Sabía,Sabías,Sabía,Sabíamos,Sabían,Irregular,Sabría,Sabrías,Sabría,Sabríamos,Sabrían,Irregular,Sabré,Sabrás,Sabrá,Sabremos,Sabrán,Irregular,Sepa,Sepas,Sepa,Sepamos,Sepan,Irregular,Supiera,Supieras,Supiera,Supiéramos,Supieran
