English,Infinitive,Present Participle Type,Present Participle,Past Participle Type,Past Participle,Regular Type,Present Yo,Present Tú,Present Él,Present Nosotros,Present Ellos,Preterite Type,Preterite Yo,Preterite Tú,Preterite Él,Preterite Nosotros,Preterite Ellos,Imperfect Type,Imperfect Yo,Imperfect Tú,Imperfect Él,Imperfect Nosotros,Imperfect Ellos,Conditional Type,Conditional Yo,Conditional Tú,Conditional Él,Conditional Nosotros,Conditional Ellos,Simple Future Type,Simple Future Yo,Simple Future Tú,Simple Future Él,Simple Future Nosotros,Simple Future Ellos,Present Subjunctive Type,Present Subjunctive Yo,Present Subjunctive Tú,Present Subjunctive Él,Present Subjunctive Nosotros,Present Subjunctive Ellos,Imperfect Subjunctive Type,Imperfect Subjunctive Yo,Imperfect Subjunctive Tú,Imperfect Subjunctive Él,Imperfect Subjunctive Nosotros,Imperfect Subjunctive Ellos
To play,Jugar,Regular,Jugando,Regular,Jugado,Stem Changing,Juego,Juegas,Juega,Jugamos,Juegan,Orthographic,Jugué,Jugaste,Jugó,Jugamos,Jugaron,Regular,Jugaba,Jugabas,Jugaba,Jugábamos,Jugaban,Regular,Jugaría,Jugarías,Jugaría,Jugaríamos,Jugarían,Regular,Jugaré,Jugarás,Jugará,Jugaremos,Jugarán,"Stem Changing, Orthographic",Juegue,Juegues,Juegue,Juguemos,Jueguen,Regular,Jugara,Jugaras,Jugara,Jugáramos,Jugaran
To practice,Practicar,Regular,Practicando,Regular,Practicado,Regular,Practico,Practicas,Practica,Practicamos,Practican,Orthographic,Practiqué,Practicaste,Practicó,Practicamos,Practicaron,Regular,Practicaba,Practicabas,Practicaba,Practicábamos,Practicaban,Regular,Practicaría,Practicarías,Practicaría,Practicaríamos,Practicarían,Regular,Practicaré,Practicarás,Practicará,Practicaremos,Practicarán,Orthographic,Practique,Practiques,Practique,Practiquemos,Practiquen,Regular,Practicara,Practicaras,Practicara,Practicáramos,Practicaran
To prepare,Preparar,Regular,Preparando,Regular,Preparado,Regular,Preparo,Preparas,Prepara,Preparamos,Preparan,Regular,Preparé,Preparaste,Preparó,Preparamos,Prepararon,Regular,Preparaba,Preparabas,Preparaba,Preparábamos,Preparaban,Regular,Prepararía,Prepararías,Prepararía,Prepararíamos,Prepararían,Regular,Prepararé,Prepararás,Preparará,Prepararemos,Prepararán,Regular,Prepare,Prepares,Prepare,Preparemos,Preparen,Regular,Preparara,Prepararas,Preparara,Preparáramos,Prepararan
To put,Poner,Regular,Poniendo,Irregular,Puesto,Irregular,Pongo,Pones,Pone,Ponemos,Ponen,Irregular,Puse,Pusiste,Puso,Pusimos,Pusieron,Regular,Ponía,Ponías,Ponía,Poníamos,Ponían,Irregular,Pondría,Pondrías,Pondría,Pondríamos,Pondrían,Irregular,Pondré,Pondrás,Pondrá,Pondremos,Pondrán,Irregular,Ponga,Pongas,Ponga,Pongamos,Pongan,Irregular,Pusiera,Pusieras,Pusiera,Pusiéramos,Pusieran
To read,Leer,Irregular,Leyendo,Irregular,Leído,Regular,Leo,Lees,Lee,Leemos,Leen,Orthographic,Leí,Leíste,Leyó,Leímos,Leyeron,Regular,Leía,Leías,Leía,Leíamos,Leían,Regular,Leería,Leerías,Leería,Leeríamos,Leerían,Regular,Leeré,Leerás,Leerá,Leeremos,Leerán,Regular,Lea,Leas,Lea,Leamos,Lean,Orthographic,Leyera,Leyeras,Leyera,Leyéramos,Leyeran
To receive,Recibir,Regular,Recibiendo,Regular,Recibido,Regular,Recibo,Recibes,Recibe,Recibimos,Reciben,Regular,Recibí,Recibiste,Recibió,Recibimos,Recibieron,Regular,Recibía,Recibías,Recibía,Recibíamos,Recibían,Regular,Recibiría,Recibirías,Recibiría,Recibiríamos,Recibirían,Regular,Recibiré,Recibirás,Recibirá,Recibiremos,Recibirán,Regular,Reciba,Recibas,Reciba,Recibamos,Reciban,Regular,Recibiera,Recibieras,Recibiera,Recibiéramos,Recibieran
To relax,Descansar,Regular,Descansando,Regular,Descansado,Regular,Descanso,Descansas,Descansa,Descansamos,Descansan,Regular,Descansé,Descansaste,Descansó,Descansamos,Descansaron,Regular,Descansaba,Descansabas,Descansaba,Descansábamos,Descansaban,Regular,Descansaría,Descansarías,Descansaría,Descansaríamos,Descansarían,Regular,Descansaré,Descansarás,Descansará,Descansaremos,Descansarán,Regular,Descanse,Descanses,Descanse,Descansemos,Descansen,Regular,Descansara,Descansaras,Descansara,Descansáramos,Descansaran
To return,Regresar,Regular,Regresando,Regular,Regresado,Regular,Regreso,Regresas,Regresa,Regresamos,Regresan,Regular,Regresé,Regresaste,Regresó,Regresamos,Regresaron,Regular,Regresaba,Regresabas,Regresaba,Regresábamos,Regresaban,Regular,Regresaría,Regresarías,Regresaría,Regresaríamos,Regresarían,Regular,Regresaré,Regresarás,Regresará,Regresaremos,Regresarán,Regular,Regrese,Regreses,Regrese,Regresemos,Regresen,Regular,Regresara,Regresaras,Regresara,Regresáramos,Regresaran
To run,Correr,Regular,Corriendo,Regular,Corrido,Regular,Corro,Corres,Corre,Corremos,Corren,Regular,Corrí,Corriste,Corrió,Corrimos,Corrieron,Regular,Corría,Corrías,Corría,Corríamos,Corrían,Regular,Correría,Correrías,Correría,Correríamos,Correrían,Regular,Correré,Correrás,Correrá,Correremos,Correrán,Regular,Corra,Corras,Corra,Corramos,Corran,Regular,Corriera,Corrieras,Corriera,Corriéramos,Corrieran
"To say, To tell",Decir,Stem Changing,Diciendo,Irregular,Dicho,"Irregular, Stem Changing",Digo,Dices,Dice,Decimos,Dicen,Irregular,Dije,Dijiste,Dijo,Dijimos,Dijeron,Regular,Decía,Decías,Decía,Decíamos,Decían,Irregular,Diría,Dirías,Diría,Diríamos,Dirían,Irregular,Diré,Dirás,Dirá,Diremos,Dirán,Irregular,Diga,Digas,Diga,Digamos,Digan,Irregular,Dijera,Dijeras,Dijera,Dijéramos,Dijeran
To see,Ver,Regular,Viendo,Irregular,Visto,Irregular,Veo,Ves,Ve,Vemos,Ven,Irregular,Vi,Viste,Vio,Vimos,Vieron,Irregular,Veía,Veías,Veía,Veíamos,Veían,Regular,Vería,Verías,Vería,Veríamos,Verían,Regular,Veré,Verás,Verá,Veremos,Verán,Irregular,Vea,Veas,Vea,Veamos,Vean,Irregular,Viera,Vieras,Viera,Viéramos,Vieran
To show,Mostrar,Regular,Mostrando,Regular,Mostrado,Stem Changing,Muestro,Muestras,Muestra,Mostramos,Muestran,Regular,Mostré,Mostraste,Mostró,Mostramos,Mostraron,Regular,Mostraba,Mostrabas,Mostraba,Mostrábamos,Mostraban,Regular,Mostraría,Mostrarías,Mostraría,Mostraríamos,Mostrarían,Regular,Mostraré,Mostrarás,Mostrará,Mostraremos,Mostrarán,Stem Changing,Muestre,Muestres,Muestre,Mostremos,Muestren,Regular,Mostrara,Mostraras,Mostrara,Mostráramos,Mostraran
To sing,Cantar,Regular,Cantando,Regular,Cantado,Regular,Canto,Cantas,Canta,Cantamos,Cantan,Regular,Canté,Cantaste,Cantó,Cantamos,Cantaron,Regular,Cantaba,Cantabas,Cantaba,Cantábamos,Cantaban,Regular,Cantaría,Cantarías,Cantaría,Cantaríamos,Cantarían,Regular,Cantaré,Cantarás,Cantará,Cantaremos,Cantarán,Regular,Cante,Cantes,Cante,Cantemos,Canten,Regular,Cantara,Cantaras,Cantara,Cantáramos,Cantaran
To sleep,Dormir,Stem Changing,Durmiendo,Regular,Dormido,Stem Changing,Duermo,Duermes,Duerme,Dormimos,Duermen,Stem Changing,Dormí,Dormiste,Durmió,Dormimos,Durmieron,Regular,Dormía,Dormías,Dormía,Dormíamos,Dormían,Regular,Dormiría,Dormirías,Dormiría,Dormiríamos,Dormirían,Regular,Dormiré,Dormirás,Dormirá,Dormiremos,Dormirán,Stem Changing,Duerma,Duermas,Duerma,Durmamos,Duerman,Stem Changing,Durmiera,Durmieras,Durmiera,Durmiéramos,Durmieran
To speak,Hablar,Regular,Hablando,Regular,Hablado,Regular,Hablo,Hablas,Habla,Hablamos,Hablan,Regular,Hablé,Hablaste,Habló,Hablamos,Hablaron,Regular,Hablaba,Hablabas,Hablaba,Hablábamos,Hablaban,Regular,Hablaría,Hablarías,Hablaría,Hablaríamos,Hablarían,Regular,Hablaré,Hablarás,Hablará,Hablaremos,Hablarán,Regular,Hable,Hables,Hable,Hablemos,Hablen,Regular,Hablara,Hablaras,Hablara,Habláramos,Hablaran
To study,Estudiar,Regular,Estudiando,Regular,Estudiado,Regular,Estudio,Estudias,Estudia,Estudiamos,Estudian,Regular,Estudié,Estudiaste,Estudió,Estudiamos,Estudiaron,Regular,Estudiaba,Estudiabas,Estudiaba,Estudiábamos,Estudiaban,Regular,Estudiaría,Estudiarías,Estudiaría,Estudiaríamos,Estudiarían,Regular,Estudiaré,Estudiarás,Estudiará,Estudiaremos,Estudiarán,Regular,Estudie,Estudies,Estudie,Estudiemos,Estudien,Regular,Estudiara,Estudiaras,Estudiara,Estudiáramos,Estudiaran
To swim,Nadar,Regular,Nadando,Regular,Nadado,Regular,Nado,Nadas,Nada,Nadamos,Nadan,Regular,Nadé,Nadaste,Nadó,Nadamos,Nadaron,Regular,Nadaba,Nadabas,Nadaba,Nadábamos,Nadaban,Regular,Nadaría,Nadarías,Nadaría,Nadaríamos,Nadarían,Regular,Nadaré,Nadarás,Nadará,Nadaremos,Nadarán,Regular,Nade,Nades,Nade,Nademos,Naden,Regular,Nadara,Nadaras,Nadara,Nadáramos,Nadaran
To take,Tomar,Regular,Tomando,Regular,Tomado,Regular,Tomo,Tomas,Toma,Tomamos,Toman,Regular,Tomé,Tomaste,Tomó,Tomamos,Tomaron,Regular,Tomaba,Tomabas,Tomaba,Tomábamos,Tomaban,Regular,Tomaría,Tomarías,Tomaría,Tomaríamos,Tomarían,Regular,Tomaré,Tomarás,Tomará,Tomaremos,Tomarán,Regular,Tome,Tomes,Tome,Tomemos,Tomen,Regular,Tomara,Tomaras,Tomara,Tomáramos,Tomaran
"To take, To wear",Llevar,Regular,Llevando,Regular,Llevado,Regular,Llevo,Llevas,Lleva,Llevamos,Llevan,Regular,Llevé,Llevaste,Llevó,Llevamos,Llevaron,Regular,Llevaba,Llevabas,Llevaba,Llevábamos,Llevaban,Regular,Llevaría,Llevarías,Llevaría,Llevaríamos,Llevarían,Regular,Llevaré,Llevarás,Llevará,Llevaremos,Llevarán,Regular,Lleve,Lleves,Lleve,Llevemos,Lleven,Regular,Llevara,Llevaras,Llevara,Lleváramos,Llevaran
To take care of,Cuidar,Regular,Cuidando,Regular,Cuidado,Regular,Cuido,Cuidas,Cuida,Cuidamos,Cuidan,Regular,Cuidé,Cuidaste,Cuidó,Cuidamos,Cuidaron,Regular,Cuidaba,Cuidabas,Cuidaba,Cuidábamos,Cuidaban,Regular,Cuidaría,Cuidarías,Cuidaría,Cuidaríamos,Cuidarían,Regular,Cuidaré,Cuidarás,Cuidará,Cuidaremos,Cuidarán,Regular,Cuide,Cuides,Cuide,Cuidemos,Cuiden,Regular,Cuidara,Cuidaras,Cuidara,Cuidáramos,Cuidaran
To take out,Sacar,Regular,Sacando,Regular,Sacado,Regular,Saco,Sacas,Saca,Sacamos,Sacan,Orthographic,Saqué,Sacaste,Sacó,Sacamos,Sacaron,Regular,Sacaba,Sacabas,Sacaba,Sacábamos,Sacaban,Regular,Sacaría,Sacarías,Sacaría,Sacaríamos,Sacarían,Regular,Sacaré,Sacarás,Sacará,Sacaremos,Sacarán,Orthographic,Saque,Saques,Saque,Saquemos,Saquen,Regular,Sacara,Sacaras,Sacara,Sacáramos,Sacaran
To teach,Enseñar,Regular,Enseñando,Regular,Enseñado,Regular,Enseño,Enseñas,Enseña,Enseñamos,Enseñan,Regular,Enseñé,Enseñaste,Enseñó,Enseñamos,Enseñaron,Regular,Enseñaba,Enseñabas,Enseñaba,Enseñábamos,Enseñaban,Regular,Enseñaría,Enseñarías,Enseñaría,Enseñaríamos,Enseñarían,Regular,Enseñaré,Enseñarás,Enseñará,Enseñaremos,Enseñarán,Regular,Enseñe,Enseñes,Enseñe,Enseñemos,Enseñen,Regular,Enseñara,Enseñaras,Enseñara,Enseñáramos,Enseñaran
To think,Pensar,Regular,Pensando,Regular,Pensado,Stem Changing,Pienso,Piensas,Piensa,Pensamos,Piensan,Regular,Pensé,Pensaste,Pensó,Pensamos,Pensaron,Regular,Pensaba,Pensabas,Pensaba,Pensábamos,Pensaban,Regular,Pensaría,Pensarías,Pensaría,Pensaríamos,Pensarían,Regular,Pensaré,Pensarás,Pensará,Pensaremos,Pensarán,Stem Changing,Piense,Pienses,Piense,Pensemos,Piensen,Regular,Pensara,Pensaras,Pensara,Pensáramos,Pensaran
To touch,Tocar,Regular,Tocando,Regular,Tocado,Regular,Toco,Tocas,Toca,Tocamos,Tocan,Orthographic,Toqué,Tocaste,Tocó,Tocamos,Tocaron,Regular,Tocaba,Tocabas,Tocaba,Tocábamos,Tocaban,Regular,Tocaría,Tocarías,Tocaría,Tocaríamos,Tocarían,Regular,Tocaré,Tocarás,Tocará,Tocaremos,Tocarán,Orthographic,Toque,Toques,Toque,Toquemos,Toquen,Regular,Tocara,Tocaras,Tocara,Tocáramos,Tocaran
To travel,Viajar,Regular,Viajando,Regular,Viajado,Regular,Viajo,Viajas,Viaja,Viajamos,Viajan,Regular,Viajé,Viajaste,Viajó,Viajamos,Viajaron,Regular,Viajaba,Viajabas,Viajaba,Viajábamos,Viajaban,Regular,Viajaría,Viajarías,Viajaría,Viajaríamos,Viajarían,Regular,Viajaré,Viajarás,Viajará,Viajaremos,Viajarán,Regular,Viaje,Viajes,Viaje,Viajemos,Viajen,Regular,Viajara,Viajaras,Viajara,Viajáramos,Viajaran
To understand,Entender,Regular,Entendiendo,Regular,Entendido,Stem Changing,Entiendo,Entiendes,Entiende,Entendemos,Entienden,Regular,Entendí,Entendiste,Entendió,Entendimos,Entendieron,Regular,Entendía,Entendías,Entendía,Entendíamos,Entendían,Regular,Entendería,Entenderías,Entendería,Entenderíamos,Entenderían,Regular,Entenderé,Entenderás,Entenderá,Entenderemos,Entenderán,Stem Changing,Entienda,Entiendas,Entienda,Entendamos,Entiendan,Regular,Entendiera,Entendieras,Entendiera,Entendiéramos,Entendieran
To wake up,Despertarse,Regular,Despertando,Regular,Despertado,"Reflexive, Stem Changing",Me despierto,Te despiertas,Se despierta,Nos despertamos,Se despiertan,"Reflexive, Regular",Me desperté,Te despertaste,Se despertó,Nos despertamos,Se despertaron,"Reflexive, Regular",Me despertaba,Te despertabas,Se despertaba,Nos despertábamos,Se despertaban,"Reflexive, Regular",Me despertaría,Te despertarías,Se despertaría,Nos despertaríamos,Se despertarían,"Reflexive, Regular",Me despertaré,Te despertarás,Se despertará,Nos despertaremos,Se despertarán,"Reflexive, Stem Changing",Me despierte,Te despiertes,Se despierte,Nos despertemos,Se despierten,"Reflexive, Regular",Me despertara,Te despertaras,Se despertara,Nos despertáramos,Se despertaran
To walk,Caminar,Regular,Caminando,Regular,Caminado,Regular,Camino,Caminas,Camina,Caminamos,Caminan,Regular,Caminé,Caminaste,Caminó,Caminamos,Caminaron,Regular,Caminaba,Caminabas,Caminaba,Caminábamos,Caminaban,Regular,Caminaría,Caminarías,Caminaría,Caminaríamos,Caminarían,Regular,Caminaré,Caminarás,Caminará,Caminaremos,Caminarán,Regular,Camine,Camines,Camine,Caminemos,Caminen,Regular,Caminara,Caminaras,Caminara,Camináramos,Caminaran
To want,Querer,Regular,Queriendo,Regular,Querido,Stem Changing,Quiero,Quieres,Quiere,Queremos,Quieren,Irregular,Quise,Quisiste,Quiso,Quisimos,Quisieron,Regular,Quería,Querías,Quería,Queríamos,Querían,Irregular,Querría,Querrías,Querría,Querríamos,Querrían,Irregular,Querré,Querrás,Querrá,Querremos,Querrán,Stem Changing,Quiera,Quieras,Quiera,Queramos,Quieran,Irregular,Quisiera,Quisieras,Quisiera,Quisiéramos,Quisieran
To wash,Lavar,Regular,Lavando,Regular,Lavado,Regular,Lavo,Lavas,Lava,Lavamos,Lavan,Regular,Lavé,Lavaste,Lavó,Lavamos,Lavaron,Regular,Lavaba,Lavabas,Lavaba,Lavábamos,Lavaban,Regular,Lavaría,Lavarías,Lavaría,Lavaríamos,Lavarían,Regular,Lavaré,Lavarás,Lavará,Lavaremos,Lavarán,Regular,Lave,Laves,Lave,Lavemos,Laven,Regular,Lavara,Lavaras,Lavara,Laváramos,Lavaran
To win,Ganar,Regular,Ganando,Regular,Ganado,Regular,Gano,Ganas,Gana,Ganamos,Ganan,Regular,Gané,Ganaste,Ganó,Ganamos,Ganaron,Regular,Ganaba,Ganabas,Ganaba,Ganábamos,Ganaban,Regular,Ganaría,Ganarías,Ganaría,Ganaríamos,Ganarían,Regular,Ganaré,Ganarás,Ganará,Ganaremos,Ganarán,Regular,Gane,Ganes,Gane,Ganemos,Ganen,Regular,Ganara,Ganaras,Ganara,Ganáramos,Ganaran
To work,Trabajar,Regular,Trabajando,Regular,Trabajado,Regular,Trabajo,Trabajas,Trabaja,Trabajamos,Trabajan,Regular,Trabajé,Trabajaste,Trabajó,Trabajamos,Trabajaron,Regular,Trabajaba,Trabajabas,Trabajaba,Trabajábamos,Trabajaban,Regular,Trabajaría,Trabajarías,Trabajaría,Trabajaríamos,Trabajarían,Regular,Trabajaré,Trabajarás,Trabajará,Trabajaremos,Trabajarán,Regular,Trabaje,Trabajes,Trabaje,Trabajemos,Trabajen,Regular,Trabajara,Trabajaras,Trabajara,Trabajáramos,Trabajaran
To write,Escribir,Regular,Escribiendo,Irregular,Escrito,Regular,Escribo,Escribes,Escribe,Escribimos,Escriben,Regular,Escribí,Escribiste,Escribió,Escribimos,Escribieron,Regular,Escribía,Escribías,Escribía,Escribíamos,Escribían,Regular,Escribiría,Escribirías,Escribiría,Escribiríamos,Escribirían,Regular,Escribiré,Escribirás,Escribirá,Escribiremos,Escribirán,Regular,Escriba,Escribas,Escriba,Escribamos,Escriban,Regular,Escribiera,Escribieras,Escribiera,Escribiéramos,Escribieran
